FEEDBACK_APP;FEEDBACK_VALUE;FEEDBACK_DATE;USER_ID;DATE;RTT;DOWNLOAD_LOSS_RATE;UPLOAD_LOSS_RATE;DOWNLOAD_JITTER;UPLOAD_JITTER;UDP_DOWNLOAD_THROUGHPUT;UDP_UPLOAD_THROUGHPUT;SKYPE___VOICE_CALL___MOS;YOUTUBE___VIDEO_PLAYBACK___P_720___MOS;NETWORK_CLASS;NETWORK_TYPE;MOBILE_GSM_CID;MOBILE_GSM_LAC;MOBILE_UMTS_PSC;MOBILE_OPERATOR;MOBILE_OPERATOR_COUNTRY_CODE;SIGNAL_STRENGTH_RSSI__dBm(0);SIGNAL_STRENGTH_LEVEL(0);IS_IN_AIRPLANE_MODE;IS_MOBILE_DATA_ENABLED;IS_ROAMING_DATA_ENABLED;IS_IN_NATIONAL_ROAMING;IS_IN_ROAMING;IS_WIFI_CONNECTED;SIGNAL_STRENGTH_RSSI__dBm(1);SIGNAL_STRENGTH_LEVEL(1);WIFI_SSID
HANGOUTS___GENERAL___MOS;5;2017-12-14 15:05:17.092000;b058f43c-e2c3-4105-9c6a-d1bd49c3d5f8;2017-12-14 15:05:09.310000;1763210746.11;0;0;404856.44;975678.91;2450218.013638638;1825932.766289695;5;3;3G;HSPAP;;;;20801;;-97;;;;;;False;False;+Inf;2147483647;<unknown ssid>
"MESSENGER___GENERAL___MOS;5;2017-12-18 09:52:25.406000;b058f43c-e2c3-4105-9c6a-d1bd49c3d5f8;2017-12-18 09:52:20.662000;5040786.26;0;0;556120.26;816236.06;9113961.101874001;16534836.791005965;5;5;3G;HSUPA;;;;20801;;-95;;;;;;False;True;-55;5;""eduroam"""
"YOUTUBE___VIDEO_PLAYBACK___P_720___MOS;5;2017-12-19 19:12:43.825000;b058f43c-e2c3-4105-9c6a-d1bd49c3d5f8;2017-12-19 19:12:20.219000;4334517.09;0;0;695170.78;518225.2;6065353.285084717;9643325.149708545;5;5;3G;HSUPA;;;;20801;;-93;;;;;;False;True;-58;5;""eduroam"""
YOUTUBE___VIDEO_PLAYBACK___P_720___MOS;2;2018-01-20 16:23:44.997000;77a801f9-152d-4aeb-aa04-cc3c67b974e6;2018-01-20 16:23:46.649000;329386535.04;0;0;1574777.3;1292943.7;205204.00041399078;929413.0505829441;4;5;3G;HSPAP;21144115;5399;-1;20801;;-93;;;;;;False;False;-Inf;-2147483648;<unknown ssid>
YOUTUBE___VIDEO_PLAYBACK___P_720___MOS;5;2018-01-27 11:07:53.400000;967806a3-f2c5-4161-a6a5-f6dd8f1403ca;2018-01-27 11:07:25.968000;96561779.23;0;0;878999.2;1620245.4;4882325.484648165;443891.71548302425;5;5;4G;LTE;1377287;49803;-1;20810;;-118;;;;;;False;False;-Inf;-2147483648;0x
RSS___GENERAL___MOS;2;2018-03-02 19:27:13.239000;967806a3-f2c5-4161-a6a5-f6dd8f1403ca;2018-03-02 19:27:28.291000;74936463.61;0;0;730823.8;1692476.72;7065996.748669217;1300184.6703678388;5;5;4G;LTE;12037899;22041;-1;22210;;-112;3;;;;;True;False;-Inf;-2147483648;0x
YOUTUBE___VIDEO_PLAYBACK___P_AUTO___MOS;1;2018-03-11 21:25:52.828000;967806a3-f2c5-4161-a6a5-f6dd8f1403ca;2018-03-11 21:26:39.027000;1.7976931348623157e+308;1;1;0;0;0;0;1;1;UNKNOWN;UNKNOWN;30687;49815;-1;20810;;-95;4;;;;;False;False;+Inf;2147483647;0x
YOUTUBE___VIDEO_PLAYBACK___P_720___MOS;1;2018-03-11 21:26:15.223000;967806a3-f2c5-4161-a6a5-f6dd8f1403ca;2018-03-11 21:26:39.027000;1.7976931348623157e+308;1;1;0;0;0;0;1;1;UNKNOWN;UNKNOWN;30687;49815;-1;20810;;-95;4;;;;;False;False;+Inf;2147483647;0x
WEB___GENERAL___MOS;1;2018-03-25 21:10:37.285000;967806a3-f2c5-4161-a6a5-f6dd8f1403ca;2018-03-25 21:10:13.579000;283621531.28;0;0;1764648.08;3778392.36;3240557.8459757087;295336.0926530482;5;5;3G;HSPAP;20933543;10701;421;20810;fr;-113;1;False;True;True;False;False;False;+Inf;2147483647;0x
SNAPCHAT___GENERAL___MOS;2;2019-09-08 10:14:42.221000;27a4efeb-a356-405d-8b88-b2e91db49393;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YOUTUBE___GENERAL___MOS;1;2019-09-08 19:56:06.864000;a94b254f-3cfe-4420-93c8-85c8ebdd53cd;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YOUTUBE___GENERAL___MOS;1;2019-09-08 19:56:16.562000;a94b254f-3cfe-4420-93c8-85c8ebdd53cd;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YOUTUBE___GENERAL___MOS;1;2019-09-08 19:56:24.309000;a94b254f-3cfe-4420-93c8-85c8ebdd53cd;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YOUTUBE___GENERAL___MOS;1;2019-09-08 20:04:10.877000;a94b254f-3cfe-4420-93c8-85c8ebdd53cd;2019-09-08 20:05:12.663000;1.7976931348623157e+308;1;1;0;0;0;0;1;1;3G;HSPAP;;;;63601;et;-69;5;False;True;False;False;False;False;-Inf;-2147483648;<unknown ssid>
