,FEEDBACK_APP,FEEDBACK_VALUE,USER_ID,RTT,DOWNLOAD_LOSS_RATE,UPLOAD_LOSS_RATE,DOWNLOAD_JITTER,UPLOAD_JITTER,UDP_DOWNLOAD_THROUGHPUT,UDP_UPLOAD_THROUGHPUT,SKYPE___VOICE_CALL___MOS,YOUTUBE___VIDEO_PLAYBACK___P_720___MOS
15,INSTAGRAM___GENERAL___MOS,3,84a0d1eb-3ae9-4427-a391-655d2e292d77,12767780,0.0,0.0,941168.87,205313.37,7179501.707,6079195.992000001,5.0,5.0
16,FACEBOOK___GENERAL___MOS,2,84a0d1eb-3ae9-4427-a391-655d2e292d77,20419040,0.0,0.0,2529481.18,1720606.65,6206060.606000001,4709789.906,5.0,5.0
17,INSTAGRAM___GENERAL___MOS,3,84a0d1eb-3ae9-4427-a391-655d2e292d77,4210950,0.0,0.0,1076875.16,763994.16,4654930.16,5150050.964,5.0,5.0
18,FACEBOOK___GENERAL___MOS,2,84a0d1eb-3ae9-4427-a391-655d2e292d77,2102830,0.0,0.0,370968.15,142236.89,10368824.79,5089374.56,5.0,5.0
19,FACEBOOK___GENERAL___MOS,5,84a0d1eb-3ae9-4427-a391-655d2e292d77,4945840,0.0,0.0,1050905.33,446649.53,10811594.82,4438059.2469999995,5.0,5.0
20,INSTAGRAM___GENERAL___MOS,5,84a0d1eb-3ae9-4427-a391-655d2e292d77,4945840,0.0,0.0,1050905.33,446649.53,10811594.82,4438059.2469999995,5.0,5.0
21,EMAIL___GENERAL___MOS,4,84a0d1eb-3ae9-4427-a391-655d2e292d77,2104180,0.0,0.0,375038.9,113679.02,10059338.35,5702396.336,5.0,5.0
22,NETFLIX___GENERAL___MOS,4,84a0d1eb-3ae9-4427-a391-655d2e292d77,6081600,0.0,0.0,1206762.05,998650.75,7764705.882,4971255.857,5.0,5.0
23,SNAPCHAT___GENERAL___MOS,1,84a0d1eb-3ae9-4427-a391-655d2e292d77,6081600,0.0,0.0,1206762.05,998650.75,7764705.882,4971255.857,5.0,5.0
24,INSTAGRAM___GENERAL___MOS,1,84a0d1eb-3ae9-4427-a391-655d2e292d77,3530840,0.0,0.0,527979.49,266957.34,10238448.72,4716951.853999999,5.0,5.0
25,INSTAGRAM___GENERAL___MOS,5,84a0d1eb-3ae9-4427-a391-655d2e292d77,7218490,0.0,0.0,2067237.85,2421179.95,10825911.45,4699155.631,5.0,5.0
26,SPOTIFY___GENERAL___MOS,5,86ac0398-dca7-404a-bf79-4d23da9ec447,3835246.28,0.0,0.0,623187.18,495877.1,11543009.68,18944732.64,5.0,5.0
27,HANGOUTS___GENERAL___MOS,4,84a0d1eb-3ae9-4427-a391-655d2e292d77,13386816.86,0.0,0.0,849974.86,363695.0,10238686.76,6843163.345,5.0,5.0
29,YOUTUBE___VIDEO_PLAYBACK___S_144___MOS,5,aebcc31b-34b5-4fef-bd52-d8fab9cfb9ed,20748800,0.0,0.0,1717010.99,1172015.81,9591643.644,2002063.324,5.0,5.0
30,INSTAGRAM___GENERAL___MOS,5,d2b26cdd-5361-4d1b-bfe2-a26a6cd58b82,55369281.68,0.0,0.0,1886329.74,1787385.84,9838270.616,14514902.36,5.0,5.0
31,NETFLIX___GENERAL___MOS,5,b9e9b780-31e6-4bb0-97ea-26638b99e5a1,32170579.68,0.0,0.0,303464.71,1178226.0,10041349.45,12625157.19,5.0,5.0
32,TELEGRAM___GENERAL___MOS,5,b9e9b780-31e6-4bb0-97ea-26638b99e5a1,32183950.6,0.0,0.0,248586.17,1307066.82,8022137.351,9460067.506000001,5.0,5.0
33,SKYPE___CHAT_AUDIO_MESSAGE___MOS,5,b9e9b780-31e6-4bb0-97ea-26638b99e5a1,35094907.31,0.0,0.0,222787.01,1337333.13,9765562.536,7560544.203,5.0,5.0
34,SKYPE___CHAT_IMAGE_MESSAGE___MOS,5,4d8f5198-c6e6-49b4-ac57-02c5a949638e,30738761.96,0.0,0.0,129933.1,1246912.31,9697205.486,10190337.24,5.0,5.0
35,SKYPE___CHAT___MOS,5,b74aad70-0b99-4c4f-a932-509b36ef7b7d,30262684.87,0.0,0.0,99144.69,995264.61,10105063.92,10404547.18,5.0,5.0
36,TWITTER___GENERAL___MOS,5,b74aad70-0b99-4c4f-a932-509b36ef7b7d,34037563.53,0.0,0.0,343937.08,1473468.96,10330774.74,8966571.501,5.0,5.0
38,INSTAGRAM___GENERAL___MOS,5,b74aad70-0b99-4c4f-a932-509b36ef7b7d,2949908.38,0.0,0.0,578667.76,212626.95,9431495.087000001,12785964.18,5.0,5.0
39,SKYPE___CHAT_VIDEO_MESSAGE___MOS,5,b74aad70-0b99-4c4f-a932-509b36ef7b7d,4876166.66,0.0,0.0,835647.27,388209.84,4153509.918,10012423.88,5.0,5.0
40,NETFLIX___GENERAL___MOS,5,2e604f35-a694-4898-b0e9-5cfbcd785fd4,2622618.81,0.0,0.0,361845.76,223645.97,9951954.45,11286970.24,5.0,5.0
41,VIBER___GENERAL___MOS,5,912525d0-1113-4b1e-9a7b-dc022ef005ba,2245676.07,0.0,0.0,193027.02,169245.48,9770906.29,15521064.44,5.0,5.0
