,index,FEEDBACK_APP,FEEDBACK_VALUE,FEEDBACK_DATE,USER_ID,DATE,RTT,DL,UL,DJ,UJ,DTH,UTH,SKYPE___VOICE_CALL___MOS,YOUTUBE___VIDEO_PLAYBACK___P_720___MOS,NETWORK_CLASS,NETWORK_TYPE,MOBILE_GSM_CID,MOBILE_GSM_LAC,MOBILE_UMTS_PSC,MOBILE_OPERATOR,MOBILE_OPERATOR_COUNTRY_CODE,SIGNAL_STRENGTH_RSSI__dBm(0),SIGNAL_STRENGTH_LEVEL(0),IS_IN_AIRPLANE_MODE,IS_MOBILE_DATA_ENABLED,IS_ROAMING_DATA_ENABLED,IS_IN_NATIONAL_ROAMING,IS_IN_ROAMING,IS_WIFI_CONNECTED,SIGNAL_STRENGTH_RSSI__dBm(1),SIGNAL_STRENGTH_LEVEL(1),WIFI_SSID,idx,YOUTUBE_AUTO_MOS,Depth,Detail_node
0,8,WEB___GENERAL___MOS,1,10:37.3,967806a3-f2c5-4161-a6a5-f6dd8f1403ca,10:13.6,283621531.3,0,0,1764648.08,3778392.36,3240557.846,295336.0927,5,5,3G,HSPAP,20933543,10701,421,20810,fr,-113,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,inf,2147483647,0x,0,5,8,"['D 1 -> F_name: DTH  (F_Val: 3240557.8460000004, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 283621531.3, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 3240557.8460000004, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 1764648.08, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 3240557.8460000004, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 283621531.3, M_Val: 157500000) Branch: falseBranch', 'D 8 -> F_name: DJ  (F_Val: 1764648.08, M_Val: 29000000) Branch: trueBranch']"
1,15,INSTAGRAM___GENERAL___MOS,3,55:07.7,84a0d1eb-3ae9-4427-a391-655d2e292d77,54:59.9,12767780,0,0,941168.87,205313.37,7179501.707,6079195.992,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>,1,5,8,"['D 1 -> F_name: DTH  (F_Val: 7179501.707, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 12767780.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 7179501.707, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 941168.87, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 7179501.707, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 12767780.0, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 941168.87, M_Val: 11000000) Branch: trueBranch']"
2,16,FACEBOOK___GENERAL___MOS,2,56:35.8,84a0d1eb-3ae9-4427-a391-655d2e292d77,56:58.6,20419040,0,0,2529481.18,1720606.65,6206060.606,4709789.906,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>,2,5,8,"['D 1 -> F_name: DTH  (F_Val: 6206060.606000001, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 20419040.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 6206060.606000001, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 2529481.18, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 6206060.606000001, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 20419040.0, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 2529481.18, M_Val: 11000000) Branch: trueBranch']"
3,17,INSTAGRAM___GENERAL___MOS,3,57:46.4,84a0d1eb-3ae9-4427-a391-655d2e292d77,57:57.9,4210950,0,0,1076875.16,763994.16,4654930.16,5150050.964,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>,3,5,8,"['D 1 -> F_name: DTH  (F_Val: 4654930.16, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 4210950.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 4654930.16, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 1076875.16, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 4654930.16, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 4210950.0, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 1076875.16, M_Val: 11000000) Branch: trueBranch']"
4,18,FACEBOOK___GENERAL___MOS,2,00:36.8,84a0d1eb-3ae9-4427-a391-655d2e292d77,00:57.3,2102830,0,0,370968.15,142236.89,10368824.79,5089374.56,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>,4,5,8,"['D 1 -> F_name: DTH  (F_Val: 10368824.79, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 2102830.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 10368824.79, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 370968.15, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 10368824.79, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 2102830.0, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 370968.15, M_Val: 11000000) Branch: trueBranch']"
5,19,FACEBOOK___GENERAL___MOS,5,02:47.0,84a0d1eb-3ae9-4427-a391-655d2e292d77,02:57.3,4945840,0,0,1050905.33,446649.53,10811594.82,4438059.247,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>,5,5,8,"['D 1 -> F_name: DTH  (F_Val: 10811594.82, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 4945840.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 10811594.82, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 1050905.33, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 10811594.82, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 4945840.0, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 1050905.33, M_Val: 11000000) Branch: trueBranch']"
6,20,INSTAGRAM___GENERAL___MOS,5,03:26.5,84a0d1eb-3ae9-4427-a391-655d2e292d77,02:57.3,4945840,0,0,1050905.33,446649.53,10811594.82,4438059.247,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>,6,5,8,"['D 1 -> F_name: DTH  (F_Val: 10811594.82, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 4945840.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 10811594.82, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 1050905.33, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 10811594.82, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 4945840.0, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 1050905.33, M_Val: 11000000) Branch: trueBranch']"
7,21,EMAIL___GENERAL___MOS,4,04:12.6,84a0d1eb-3ae9-4427-a391-655d2e292d77,03:57.4,2104180,0,0,375038.9,113679.02,10059338.35,5702396.336,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>,7,5,8,"['D 1 -> F_name: DTH  (F_Val: 10059338.35, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 2104180.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 10059338.35, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 375038.9, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 10059338.35, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 2104180.0, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 375038.9, M_Val: 11000000) Branch: trueBranch']"
8,22,NETFLIX___GENERAL___MOS,4,05:45.3,84a0d1eb-3ae9-4427-a391-655d2e292d77,05:57.9,6081600,0,0,1206762.05,998650.75,7764705.882,4971255.857,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>,8,5,8,"['D 1 -> F_name: DTH  (F_Val: 7764705.882, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 6081600.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 7764705.882, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 1206762.05, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 7764705.882, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 6081600.0, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 1206762.05, M_Val: 11000000) Branch: trueBranch']"
9,23,SNAPCHAT___GENERAL___MOS,1,06:17.9,84a0d1eb-3ae9-4427-a391-655d2e292d77,05:57.9,6081600,0,0,1206762.05,998650.75,7764705.882,4971255.857,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>,9,5,8,"['D 1 -> F_name: DTH  (F_Val: 7764705.882, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 6081600.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 7764705.882, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 1206762.05, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 7764705.882, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 6081600.0, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 1206762.05, M_Val: 11000000) Branch: trueBranch']"
