4236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEEDBACK_APP,FEEDBACK_VALUE,FEEDBACK_DATE,USER_ID,DATE,RTT,DOWNLOAD_LOSS_RATE,UPLOAD_LOSS_RATE,DOWNLOAD_JITTER,UPLOAD_JITTER,UDP_DOWNLOAD_THROUGHPUT,UDP_UPLOAD_THROUGHPUT,SKYPE___VOICE_CALL___MOS,YOUTUBE___VIDEO_PLAYBACK___P_720___MOS,NETWORK_CLASS,NETWORK_TYPE,MOBILE_GSM_CID,MOBILE_GSM_LAC,MOBILE_UMTS_PSC,MOBILE_OPERATOR,MOBILE_OPERATOR_COUNTRY_CODE,SIGNAL_STRENGTH_RSSI__dBm(0),SIGNAL_STRENGTH_LEVEL(0),IS_IN_AIRPLANE_MODE,IS_MOBILE_DATA_ENABLED,IS_ROAMING_DATA_ENABLED,IS_IN_NATIONAL_ROAMING,IS_IN_ROAMING,IS_WIFI_CONNECTED,SIGNAL_STRENGTH_RSSI__dBm(1),SIGNAL_STRENGTH_LEVEL(1),WIFI_SSID
HANGOUTS___GENERAL___MOS,5,05:17.1,b058f43c-e2c3-4105-9c6a-d1bd49c3d5f8,05:09.3,1763210746,0,0,404856.44,975678.91,2450218.014,1825932.766,5,3,3G,HSPAP,,,,20801,,-97,,,,,,FALSE,FALSE,#NAME?,2147483647,<unknown ssid>
MESSENGER___GENERAL___MOS,5,52:25.4,b058f43c-e2c3-4105-9c6a-d1bd49c3d5f8,52:20.7,5040786.26,0,0,556120.26,816236.06,9113961.102,16534836.79,5,5,3G,HSUPA,,,,20801,,-95,,,,,,FALSE,TRUE,-55,5,eduroam
YOUTUBE___VIDEO_PLAYBACK___P_720___MOS,5,12:43.8,b058f43c-e2c3-4105-9c6a-d1bd49c3d5f8,12:20.2,4334517.09,0,0,695170.78,518225.2,6065353.285,9643325.15,5,5,3G,HSUPA,,,,20801,,-93,,,,,,FALSE,TRUE,-58,5,eduroam
YOUTUBE___VIDEO_PLAYBACK___P_720___MOS,2,23:45.0,77a801f9-152d-4aeb-aa04-cc3c67b974e6,23:46.6,329386535,0,0,1574777.3,1292943.7,205204.0004,929413.0506,4,5,3G,HSPAP,21144115,5399,-1,20801,,-93,,,,,,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
YOUTUBE___VIDEO_PLAYBACK___P_720___MOS,5,07:53.4,967806a3-f2c5-4161-a6a5-f6dd8f1403ca,07:26.0,96561779.23,0,0,878999.2,1620245.4,4882325.485,443891.7155,5,5,4G,LTE,1377287,49803,-1,20810,,-118,,,,,,FALSE,FALSE,#NAME?,-2147483648,0x
RSS___GENERAL___MOS,2,27:13.2,967806a3-f2c5-4161-a6a5-f6dd8f1403ca,27:28.3,74936463.61,0,0,730823.8,1692476.72,7065996.749,1300184.67,5,5,4G,LTE,12037899,22041,-1,22210,,-112,3,,,,,TRUE,FALSE,#NAME?,-2147483648,0x
YOUTUBE___VIDEO_PLAYBACK___P_AUTO___MOS,1,25:52.8,967806a3-f2c5-4161-a6a5-f6dd8f1403ca,26:39.0,#NULL!,1,1,0,0,0,0,1,1,UNKNOWN,UNKNOWN,30687,49815,-1,20810,,-95,4,,,,,FALSE,FALSE,#NAME?,2147483647,0x
YOUTUBE___VIDEO_PLAYBACK___P_720___MOS,1,26:15.2,967806a3-f2c5-4161-a6a5-f6dd8f1403ca,26:39.0,#NULL!,1,1,0,0,0,0,1,1,UNKNOWN,UNKNOWN,30687,49815,-1,20810,,-95,4,,,,,FALSE,FALSE,#NAME?,2147483647,0x
WEB___GENERAL___MOS,1,10:37.3,967806a3-f2c5-4161-a6a5-f6dd8f1403ca,10:13.6,283621531.3,0,0,1764648.08,3778392.36,3240557.846,295336.0927,5,5,3G,HSPAP,20933543,10701,421,20810,fr,-113,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,2147483647,0x
SNAPCHAT___GENERAL___MOS,2,14:42.2,27a4efeb-a356-405d-8b88-b2e91db49393,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOUTUBE___GENERAL___MOS,1,56:06.9,a94b254f-3cfe-4420-93c8-85c8ebdd53cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOUTUBE___GENERAL___MOS,1,56:16.6,a94b254f-3cfe-4420-93c8-85c8ebdd53cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOUTUBE___GENERAL___MOS,1,56:24.3,a94b254f-3cfe-4420-93c8-85c8ebdd53cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOUTUBE___GENERAL___MOS,1,04:10.9,a94b254f-3cfe-4420-93c8-85c8ebdd53cd,05:12.7,#NULL!,1,1,0,0,0,0,1,1,3G,HSPAP,,,,63601,et,-69,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
YOUTUBE___GENERAL___MOS,1,04:20.5,a94b254f-3cfe-4420-93c8-85c8ebdd53cd,05:12.7,#NULL!,1,1,0,0,0,0,1,1,3G,HSPAP,,,,63601,et,-69,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
INSTAGRAM___GENERAL___MOS,3,55:07.7,84a0d1eb-3ae9-4427-a391-655d2e292d77,54:59.9,12767780,0,0,941168.87,205313.37,7179501.707,6079195.992,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
FACEBOOK___GENERAL___MOS,2,56:35.8,84a0d1eb-3ae9-4427-a391-655d2e292d77,56:58.6,20419040,0,0,2529481.18,1720606.65,6206060.606,4709789.906,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
INSTAGRAM___GENERAL___MOS,3,57:46.4,84a0d1eb-3ae9-4427-a391-655d2e292d77,57:57.9,4210950,0,0,1076875.16,763994.16,4654930.16,5150050.964,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
FACEBOOK___GENERAL___MOS,2,00:36.8,84a0d1eb-3ae9-4427-a391-655d2e292d77,00:57.3,2102830,0,0,370968.15,142236.89,10368824.79,5089374.56,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
FACEBOOK___GENERAL___MOS,5,02:47.0,84a0d1eb-3ae9-4427-a391-655d2e292d77,02:57.3,4945840,0,0,1050905.33,446649.53,10811594.82,4438059.247,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
INSTAGRAM___GENERAL___MOS,5,03:26.5,84a0d1eb-3ae9-4427-a391-655d2e292d77,02:57.3,4945840,0,0,1050905.33,446649.53,10811594.82,4438059.247,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
EMAIL___GENERAL___MOS,4,04:12.6,84a0d1eb-3ae9-4427-a391-655d2e292d77,03:57.4,2104180,0,0,375038.9,113679.02,10059338.35,5702396.336,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
NETFLIX___GENERAL___MOS,4,05:45.3,84a0d1eb-3ae9-4427-a391-655d2e292d77,05:57.9,6081600,0,0,1206762.05,998650.75,7764705.882,4971255.857,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
SNAPCHAT___GENERAL___MOS,1,06:17.9,84a0d1eb-3ae9-4427-a391-655d2e292d77,05:57.9,6081600,0,0,1206762.05,998650.75,7764705.882,4971255.857,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
INSTAGRAM___GENERAL___MOS,1,15:55.3,84a0d1eb-3ae9-4427-a391-655d2e292d77,15:57.2,3530840,0,0,527979.49,266957.34,10238448.72,4716951.854,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
INSTAGRAM___GENERAL___MOS,5,39:30.4,84a0d1eb-3ae9-4427-a391-655d2e292d77,39:57.9,7218490,0,0,2067237.85,2421179.95,10825911.45,4699155.631,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
SPOTIFY___GENERAL___MOS,5,55:49.4,86ac0398-dca7-404a-bf79-4d23da9ec447,56:12.1,3835246.28,0,0,623187.18,495877.1,11543009.68,18944732.64,5,5,UNKNOWN,UNKNOWN,86052336,3062,-1,20815,fr,-63,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-65,4,INRIA-interne
HANGOUTS___GENERAL___MOS,4,39:59.2,84a0d1eb-3ae9-4427-a391-655d2e292d77,39:33.5,13386816.86,0,0,849974.86,363695,10238686.76,6843163.345,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
EMAIL___GENERAL___MOS,5,08:14.1,9a1161bd-9140-4c42-af7b-25f7423c73f1,08:34.1,51196364.58,0,0,791526.44,1510031.65,7699784.129,1837263.568,5,5,4G,LTE,1377299,49803,11,20810,fr,-111,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,2147483647,<unknown ssid>
YOUTUBE___VIDEO_PLAYBACK___S_144___MOS,5,42:02.6,aebcc31b-34b5-4fef-bd52-d8fab9cfb9ed,41:53.8,20748800,0,0,1717010.99,1172015.81,9591643.644,2002063.324,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
