,USER_ID,FEEDBACK_APP,Number FBs,Actual Frequency [%],Normal Frenquency,z ,,,FEEDBACK_VALUE,FEEDBACK_DATE,DATE,RTT,DOWNLOAD_LOSS_RATE,UPLOAD_LOSS_RATE,DOWNLOAD_JITTER,UPLOAD_JITTER,UDP_DOWNLOAD_THROUGHPUT,UDP_UPLOAD_THROUGHPUT,SKYPE___VOICE_CALL___MOS,YOUTUBE___VIDEO_PLAYBACK___P_720___MOS,NETWORK_CLASS,NETWORK_TYPE,MOBILE_GSM_CID,MOBILE_GSM_LAC,MOBILE_UMTS_PSC,MOBILE_OPERATOR,MOBILE_OPERATOR_COUNTRY_CODE,SIGNAL_STRENGTH_RSSI__dBm(0),SIGNAL_STRENGTH_LEVEL(0),IS_IN_AIRPLANE_MODE,IS_MOBILE_DATA_ENABLED,IS_ROAMING_DATA_ENABLED,IS_IN_NATIONAL_ROAMING,IS_IN_ROAMING,IS_WIFI_CONNECTED,SIGNAL_STRENGTH_RSSI__dBm(1),SIGNAL_STRENGTH_LEVEL(1),WIFI_SSID
0,025e04b0-196a-4dd0-9a9a-33b6fb8f19fd,5,1,0.010416667,0.348260402,-0.39002129,Mean,44.125,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,07d91f23-46c8-4e43-9faf-0c9706c1644e,2,1,0.020833333,0.348260402,-0.39002129,Std,110.570887,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,12048bbc-56ba-4070-9e40-abf32e1023c6,2,1,0.03125,0.348260402,-0.39002129,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,12116e97-7d56-4d5c-bbfa-b14379ebceb0,1,1,0.041666667,0.348260402,-0.39002129,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,385,1,0.052083333,0.348260402,-0.39002129,,,385,385,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326
5,1ebec2b6-b0c1-443a-a6e2-04ec79497784,3,1,0.0625,0.348260402,-0.39002129,,,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,1faa8e22-706c-409a-a13e-866b1c565105,3,1,0.072916667,0.348260402,-0.39002129,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7,25be5348-d4b9-40e0-8271-bdd88dc6bde1,260,1,0.083333333,0.348260402,-0.39002129,,,260,260,256,256,256,256,256,256,256,251,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
8,26085c71-3a85-4ac0-8999-411dd70d478b,1,1,0.09375,0.348260402,-0.39002129,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
9,27a4efeb-a356-405d-8b88-b2e91db49393,1,1,0.104166667,0.348260402,-0.39002129,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,29e9f01b-1a8f-45d5-b16e-5725421c70ff,16,1,0.114583333,0.348260402,-0.39002129,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16
11,2c34ce6d-da91-4232-ac9c-5d9e6509fcad,1,1,0.125,0.348260402,-0.39002129,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,2d8046c6-adc9-4fe1-ab95-8ed857d6de23,14,1,0.135416667,0.348260402,-0.39002129,,,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
13,2e604f35-a694-4898-b0e9-5cfbcd785fd4,1,1,0.145833333,0.348260402,-0.39002129,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,446db1c8-cef6-406f-986e-f297fb73547c,2,1,0.15625,0.348260402,-0.39002129,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4af0af67-83de-4746-9925-c488fa0ba763,1,1,0.166666667,0.348260402,-0.39002129,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,4be89ad5-1c0f-4f62-a838-614bcf2e9504,2,1,0.177083333,0.348260402,-0.39002129,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
17,4c16840b-c218-455a-8e5c-fbe800c40929,56,1,0.1875,0.348260402,-0.39002129,,,56,56,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,43
