FB Mos 1 vs ITU_QoE,ITU_QoE_Class_1,FB MoS 2 vs IUT_QoE,IUT_QoE_Class_2,FB MoS 3 vs ITU_QoE,ITU_QoE_Class_3,FB MoS 4 vs ITU_QoE,ITU_QoE_Class_4,FB MoS 5 vs ITU_QoE,ITU_QoE_Class_5
1.540953136,1.540953136,1.611095038,1.611095038,1.589397885,1.589397885,1.58261361,1.58261361,1.612182449,1.612182449
1.540953136,1.540953136,1.632302178,1.632302178,1.632302178,1.632302178,1.58261361,1.58261361,1.639803909,1.639803909
1.540953136,1.540953136,1.632302178,1.632302178,1.639803909,1.639803909,1.589397885,1.589397885,1.642891025,1.642891025
1.540953136,1.540953136,1.639788992,1.639788992,1.642891025,1.642891025,1.589397885,1.589397885,1.642891025,1.642891025
1.540953136,1.540953136,1.639788992,1.639788992,1.642891025,1.642891025,1.589397885,1.589397885,1.642891025,1.642891025
1.540953136,1.540953136,1.639788992,1.639788992,1.642891025,1.642891025,1.589397885,1.589397885,1.662368772,1.662368772
1.540953136,1.540953136,1.639788992,1.639788992,1.642891025,1.642891025,1.589397885,1.589397885,1.662368772,1.662368772
1.542223274,1.542223274,1.639788992,1.639788992,1.642891025,1.642891025,1.589397885,1.589397885,1.662368772,1.662368772
1.542223274,1.542223274,1.642891025,1.642891025,1.642891025,1.642891025,1.589397885,1.589397885,1.708173793,1.708173793
1.542223274,1.542223274,1.642891025,1.642891025,1.642891025,1.642891025,1.589397885,1.589397885,1.720612474,1.720612474
1.542223274,1.542223274,1.642891025,1.642891025,1.646669723,1.646669723,1.589397885,1.589397885,1.720612474,1.720612474
1.542223274,1.542223274,1.687825629,1.687825629,1.676908294,1.676908294,1.589397885,1.589397885,1.720612474,1.720612474
1.542223274,1.542223274,1.687825629,1.687825629,1.707788774,1.707788774,1.589397885,1.589397885,1.720612474,1.720612474
1.542223274,1.542223274,1.687825629,1.687825629,1.707788774,1.707788774,1.589397885,1.589397885,1.720612474,1.720612474
1.542223274,1.542223274,1.694047644,1.694047644,1.707788774,1.707788774,1.589397885,1.589397885,1.720612474,1.720612474
1.542223274,1.542223274,1.694047644,1.694047644,1.707788774,1.707788774,1.589397885,1.589397885,1.720612474,1.720612474
1.542223274,1.542223274,1.694047644,1.694047644,1.707788774,1.707788774,1.589397885,1.589397885,1.720612474,1.720612474
1.542223274,1.542223274,1.694047644,1.694047644,1.707788774,1.707788774,1.589397885,1.589397885,1.720612474,1.720612474
1.589397885,1.589397885,1.694047644,1.694047644,1.707788774,1.707788774,1.589397885,1.589397885,1.720612474,1.720612474
1.589397885,1.589397885,1.694047644,1.694047644,1.707788774,1.707788774,1.589397885,1.589397885,1.727299599,1.727299599
1.589397885,1.589397885,1.694047644,1.694047644,1.707788774,1.707788774,1.589397885,1.589397885,1.727299599,1.727299599
1.589397885,1.589397885,1.694047644,1.694047644,1.707788774,1.707788774,1.589397885,1.589397885,1.727299599,1.727299599
1.611095038,1.611095038,1.708173793,1.708173793,1.707788774,1.707788774,1.589397885,1.589397885,1.727299599,1.727299599
1.611095038,1.611095038,1.747765409,1.747765409,1.707788774,1.707788774,1.589397885,1.589397885,1.727299599,1.727299599
1.611095038,1.611095038,1.747765409,1.747765409,1.707788774,1.707788774,1.589397885,1.589397885,1.727299599,1.727299599
1.611095038,1.611095038,1.747765409,1.747765409,1.707788774,1.707788774,1.604318796,1.604318796,1.727299599,1.727299599
1.611095038,1.611095038,1.750701746,1.750701746,1.707788774,1.707788774,1.604318796,1.604318796,1.727299599,1.727299599
1.611699627,1.611699627,1.855723291,1.855723291,1.707788774,1.707788774,1.604318796,1.604318796,1.727299599,1.727299599
1.611699627,1.611699627,1.856195615,1.856195615,1.720197624,1.720197624,1.604318796,1.604318796,1.727299599,1.727299599
1.611699627,1.611699627,1.903661694,1.903661694,1.720197624,1.720197624,1.638432819,1.638432819,1.727299599,1.727299599
1.611699627,1.611699627,1.906695973,1.906695973,1.732017993,1.732017993,1.638432819,1.638432819,1.727299599,1.727299599
1.611699627,1.611699627,1.906695973,1.906695973,1.732017993,1.732017993,1.638432819,1.638432819,1.727299599,1.727299599
1.611699627,1.611699627,1.94498615,1.94498615,1.733602706,1.733602706,1.638432819,1.638432819,1.727299599,1.727299599
1.611699627,1.611699627,1.953763751,1.953763751,1.742461457,1.742461457,1.638432819,1.638432819,1.727299599,1.727299599
1.614964428,1.614964428,1.960227157,1.960227157,1.833189433,1.833189433,1.639219313,1.639219313,1.727299599,1.727299599
1.614964428,1.614964428,1.960227157,1.960227157,1.833189433,1.833189433,1.639373082,1.639373082,1.727299599,1.727299599
1.614964428,1.614964428,1.976631384,1.976631384,1.850737741,1.850737741,1.639373082,1.639373082,1.727299599,1.727299599
1.614964428,1.614964428,1.978423716,1.978423716,1.856195615,1.856195615,1.639373082,1.639373082,1.727299599,1.727299599
1.614964428,1.614964428,1.986363601,1.986363601,1.856195615,1.856195615,1.639789566,1.639789566,1.731418392,1.731418392
