,FEEDBACK_APP,FEEDBACK_VALUE,FEEDBACK_DATE,USER_ID,DATE,RTT,DOWNLOAD_LOSS_RATE,UPLOAD_LOSS_RATE,DOWNLOAD_JITTER,UPLOAD_JITTER,UDP_DOWNLOAD_THROUGHPUT,UDP_UPLOAD_THROUGHPUT,SKYPE___VOICE_CALL___MOS,YOUTUBE___VIDEO_PLAYBACK___P_720___MOS,NETWORK_CLASS,NETWORK_TYPE,MOBILE_GSM_CID,MOBILE_GSM_LAC,MOBILE_UMTS_PSC,MOBILE_OPERATOR,MOBILE_OPERATOR_COUNTRY_CODE,SIGNAL_STRENGTH_RSSI__dBm(0),SIGNAL_STRENGTH_LEVEL(0),IS_IN_AIRPLANE_MODE,IS_MOBILE_DATA_ENABLED,IS_ROAMING_DATA_ENABLED,IS_IN_NATIONAL_ROAMING,IS_IN_ROAMING,IS_WIFI_CONNECTED,SIGNAL_STRENGTH_RSSI__dBm(1),SIGNAL_STRENGTH_LEVEL(1),WIFI_SSID
117,YOUTUBE___GENERAL___MOS,2,2019-07-13 10:18:27.772000,60902e68-2e7f-421b-b16f-7f11b9069e48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,YOUTUBE___GENERAL___MOS,2,2019-07-13 10:18:33.570000,60902e68-2e7f-421b-b16f-7f11b9069e48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,YOUTUBE___GENERAL___MOS,2,2019-07-13 10:18:38.034000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:18:37.363000,3303547790,0.0,0.0,11294340.32,27797712.96,110344.9385,32443.88377,4.0,2.0,3G,HSPAP,6718013.0,1103.0,-1.0,63601.0,et,-71.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
120,YOUTUBE___GENERAL___MOS,2,2019-07-13 10:18:43.647000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:18:37.363000,3303547790,0.0,0.0,11294340.32,27797712.96,110344.9385,32443.88377,4.0,2.0,3G,HSPAP,6718013.0,1103.0,-1.0,63601.0,et,-71.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
121,YOUTUBE___GENERAL___MOS,2,2019-07-13 10:18:54.062000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:18:37.363000,3303547790,0.0,0.0,11294340.32,27797712.96,110344.9385,32443.88377,4.0,2.0,3G,HSPAP,6718013.0,1103.0,-1.0,63601.0,et,-71.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
122,YOUTUBE___GENERAL___MOS,2,2019-07-13 10:19:07.540000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:18:37.363000,3303547790,0.0,0.0,11294340.32,27797712.96,110344.9385,32443.88377,4.0,2.0,3G,HSPAP,6718013.0,1103.0,-1.0,63601.0,et,-71.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
123,YOUTUBE___GENERAL___MOS,1,2019-07-13 10:19:12.390000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:18:37.363000,3303547790,0.0,0.0,11294340.32,27797712.96,110344.9385,32443.88377,4.0,2.0,3G,HSPAP,6718013.0,1103.0,-1.0,63601.0,et,-71.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
124,YOUTUBE___GENERAL___MOS,1,2019-07-13 10:19:17.278000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:18:37.363000,3303547790,0.0,0.0,11294340.32,27797712.96,110344.9385,32443.88377,4.0,2.0,3G,HSPAP,6718013.0,1103.0,-1.0,63601.0,et,-71.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
125,YOUTUBE___GENERAL___MOS,2,2019-07-13 10:19:21.992000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:18:37.363000,3303547790,0.0,0.0,11294340.32,27797712.96,110344.9385,32443.88377,4.0,2.0,3G,HSPAP,6718013.0,1103.0,-1.0,63601.0,et,-71.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
126,YOUTUBE___GENERAL___MOS,3,2019-07-13 10:19:27.368000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:20:10.199000,711805320.8,0.0,0.0,11950090.68,10529586.9,298356.1398,28789.34017,4.0,4.0,3G,UMTS,6718019.0,1103.0,-1.0,63601.0,et,-81.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
127,YOUTUBE___GENERAL___MOS,4,2019-07-13 10:19:32.643000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:20:10.199000,711805320.8,0.0,0.0,11950090.68,10529586.9,298356.1398,28789.34017,4.0,4.0,3G,UMTS,6718019.0,1103.0,-1.0,63601.0,et,-81.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
128,YOUTUBE___GENERAL___MOS,4,2019-07-13 10:19:37.952000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:20:10.199000,711805320.8,0.0,0.0,11950090.68,10529586.9,298356.1398,28789.34017,4.0,4.0,3G,UMTS,6718019.0,1103.0,-1.0,63601.0,et,-81.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
129,YOUTUBE___GENERAL___MOS,4,2019-07-13 10:19:42.858000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:20:10.199000,711805320.8,0.0,0.0,11950090.68,10529586.9,298356.1398,28789.34017,4.0,4.0,3G,UMTS,6718019.0,1103.0,-1.0,63601.0,et,-81.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
130,YOUTUBE___GENERAL___MOS,4,2019-07-13 10:19:47.741000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:20:10.199000,711805320.8,0.0,0.0,11950090.68,10529586.9,298356.1398,28789.34017,4.0,4.0,3G,UMTS,6718019.0,1103.0,-1.0,63601.0,et,-81.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
131,YOUTUBE___GENERAL___MOS,4,2019-07-13 10:19:56.870000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:20:10.199000,711805320.8,0.0,0.0,11950090.68,10529586.9,298356.1398,28789.34017,4.0,4.0,3G,UMTS,6718019.0,1103.0,-1.0,63601.0,et,-81.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
132,YOUTUBE___GENERAL___MOS,4,2019-07-13 10:20:02.246000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:20:10.199000,711805320.8,0.0,0.0,11950090.68,10529586.9,298356.1398,28789.34017,4.0,4.0,3G,UMTS,6718019.0,1103.0,-1.0,63601.0,et,-81.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
133,YOUTUBE___GENERAL___MOS,4,2019-07-13 10:20:13.747000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:20:10.199000,711805320.8,0.0,0.0,11950090.68,10529586.9,298356.1398,28789.34017,4.0,4.0,3G,UMTS,6718019.0,1103.0,-1.0,63601.0,et,-81.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
134,YOUTUBE___GENERAL___MOS,4,2019-07-13 10:20:19.103000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:20:17.330000,#NULL!,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,3G,HSPAP,6718019.0,1103.0,-1.0,63601.0,et,-70.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
135,YOUTUBE___GENERAL___MOS,4,2019-07-13 10:20:44.041000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:20:17.330000,#NULL!,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,3G,HSPAP,6718019.0,1103.0,-1.0,63601.0,et,-70.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
136,YOUTUBE___GENERAL___MOS,4,2019-07-13 10:20:48.470000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:20:17.330000,#NULL!,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,3G,HSPAP,6718019.0,1103.0,-1.0,63601.0,et,-70.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
137,YOUTUBE___GENERAL___MOS,4,2019-07-13 10:20:58.766000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:20:17.330000,#NULL!,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,3G,HSPAP,6718019.0,1103.0,-1.0,63601.0,et,-70.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
138,YOUTUBE___GENERAL___MOS,4,2019-07-13 10:21:41.286000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:21:57.436000,691863236.2,0.0,0.0,6319718.08,10314399.7,1309149.946,32460.78097,4.0,4.0,3G,HSPAP,6718016.0,1103.0,-1.0,63601.0,et,-69.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
139,YOUTUBE___GENERAL___MOS,4,2019-07-13 10:21:45.952000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:21:57.436000,691863236.2,0.0,0.0,6319718.08,10314399.7,1309149.946,32460.78097,4.0,4.0,3G,HSPAP,6718016.0,1103.0,-1.0,63601.0,et,-69.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
140,YOUTUBE___GENERAL___MOS,3,2019-07-13 10:22:12.851000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:21:57.436000,691863236.2,0.0,0.0,6319718.08,10314399.7,1309149.946,32460.78097,4.0,4.0,3G,HSPAP,6718016.0,1103.0,-1.0,63601.0,et,-69.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
141,YOUTUBE___GENERAL___MOS,4,2019-07-13 10:22:25.467000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:21:57.436000,691863236.2,0.0,0.0,6319718.08,10314399.7,1309149.946,32460.78097,4.0,4.0,3G,HSPAP,6718016.0,1103.0,-1.0,63601.0,et,-69.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
142,YOUTUBE___GENERAL___MOS,5,2019-07-13 10:24:01.157000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:25:02.217000,602972744.7,0.0,0.0,3300204.8,9215365.9,846263.2752,30646.452680000002,4.0,4.0,3G,HSPA,6718013.0,1103.0,-1.0,63601.0,et,-71.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
143,YOUTUBE___GENERAL___MOS,5,2019-07-13 10:24:06.788000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:25:02.217000,602972744.7,0.0,0.0,3300204.8,9215365.9,846263.2752,30646.452680000002,4.0,4.0,3G,HSPA,6718013.0,1103.0,-1.0,63601.0,et,-71.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
144,YOUTUBE___GENERAL___MOS,5,2019-07-13 10:24:15.951000,60902e68-2e7f-421b-b16f-7f11b9069e48,2019-07-13 10:25:02.217000,602972744.7,0.0,0.0,3300204.8,9215365.9,846263.2752,30646.452680000002,4.0,4.0,3G,HSPA,6718013.0,1103.0,-1.0,63601.0,et,-71.0,5.0,False,False,False,False,False,False,-inf,-2147483648.0,<unknown ssid>
