,FEEDBACK_DATE,FEEDBACK_VALUE,YOUTUBE___VIDEO_PLAYBACK___P_720___MOS
119,2019-07-13 10:18:38.034000,2,2.0
120,2019-07-13 10:18:43.647000,2,2.0
121,2019-07-13 10:18:54.062000,2,2.0
122,2019-07-13 10:19:07.540000,2,2.0
123,2019-07-13 10:19:12.390000,1,2.0
124,2019-07-13 10:19:17.278000,1,2.0
125,2019-07-13 10:19:21.992000,2,2.0
126,2019-07-13 10:19:27.368000,3,4.0
127,2019-07-13 10:19:32.643000,4,4.0
128,2019-07-13 10:19:37.952000,4,4.0
129,2019-07-13 10:19:42.858000,4,4.0
130,2019-07-13 10:19:47.741000,4,4.0
131,2019-07-13 10:19:56.870000,4,4.0
132,2019-07-13 10:20:02.246000,4,4.0
133,2019-07-13 10:20:13.747000,4,4.0
134,2019-07-13 10:20:19.103000,4,4.0
135,2019-07-13 10:20:44.041000,4,4.0
136,2019-07-13 10:20:48.470000,4,4.0
137,2019-07-13 10:20:58.766000,4,4.0
138,2019-07-13 10:21:41.286000,4,4.0
139,2019-07-13 10:21:45.952000,4,4.0
140,2019-07-13 10:22:12.851000,3,4.0
141,2019-07-13 10:22:25.467000,4,4.0
142,2019-07-13 10:24:01.157000,5,4.0
143,2019-07-13 10:24:06.788000,5,4.0
144,2019-07-13 10:24:15.951000,5,4.0
145,2019-07-13 10:24:21.225000,5,4.0
146,2019-07-13 10:24:26.636000,5,4.0
147,2019-07-13 10:24:26.636000,5,4.0
148,2019-07-13 10:24:31.911000,4,4.0
149,2019-07-13 10:24:37.338000,4,4.0
150,2019-07-13 10:24:42.447000,4,4.0
151,2019-07-13 10:24:50.323000,4,4.0
152,2019-07-13 10:24:55.192000,4,4.0
153,2019-07-13 10:25:54.878000,4,5.0
154,2019-07-13 10:25:59.527000,4,5.0
155,2019-07-13 10:26:14.355000,3,5.0
156,2019-07-13 10:26:14.355000,3,5.0
157,2019-07-13 10:26:19.105000,5,5.0
158,2019-07-13 10:26:23.704000,5,5.0
159,2019-07-13 10:26:44.448000,4,5.0
160,2019-07-13 10:26:49.132000,5,5.0
161,2019-07-13 10:28:03.364000,4,4.0
162,2019-07-13 10:28:08.554000,4,4.0
163,2019-07-13 10:28:13.220000,4,4.0
164,2019-07-13 10:28:18.410000,4,4.0
167,2019-07-13 10:28:33.272000,4,4.0
168,2019-07-13 10:28:37.938000,4,4.0
169,2019-07-13 10:29:24.500000,3,4.0
170,2019-07-13 10:30:02.219000,4,4.0
172,2019-07-13 10:32:43.376000,1,2.0
173,2019-07-13 10:32:49.157000,1,2.0
174,2019-07-13 10:32:58.811000,2,2.0
175,2019-07-13 10:33:04.288000,1,2.0
263,2019-07-14 11:32:32.715000,4,4.0
264,2019-07-14 11:32:39.545000,4,4.0
265,2019-07-14 11:32:45.517000,4,4.0
266,2019-07-14 11:33:02.792000,4,4.0
267,2019-07-14 11:33:08.287000,4,4.0
268,2019-07-14 11:33:34.713000,4,4.0
269,2019-07-14 11:34:04.200000,3,4.0
270,2019-07-14 11:34:10.995000,4,4.0
271,2019-07-14 11:34:18.231000,4,4.0
272,2019-07-14 11:34:25.535000,3,4.0
273,2019-07-14 11:34:32.012000,4,4.0
274,2019-07-14 11:34:43.709000,4,4.0
275,2019-07-14 11:35:14.788000,5,5.0
276,2019-07-14 11:35:50.105000,3,5.0
277,2019-07-14 11:36:00.771000,4,5.0
278,2019-07-14 11:36:22.513000,4,5.0
279,2019-07-14 11:36:41.837000,3,5.0
280,2019-07-14 11:36:52.269000,3,5.0
281,2019-07-14 11:37:14.451000,3,5.0
282,2019-07-14 11:37:41.151000,5,5.0
283,2019-07-14 11:37:51.410000,5,5.0
284,2019-07-14 11:38:21.235000,4,5.0
285,2019-07-14 11:38:49.299000,5,5.0
286,2019-07-14 11:38:49.299000,5,5.0
287,2019-07-14 11:39:29.689000,4,3.0
288,2019-07-14 11:39:37.702000,5,3.0
293,2019-07-14 11:40:47.806000,3,3.0
294,2019-07-14 11:41:05.855000,4,3.0
295,2019-07-14 11:41:17.876000,4,3.0
296,2019-07-14 11:41:24.385000,5,3.0
297,2019-07-14 11:41:24.385000,5,3.0
298,2019-07-14 11:41:59.095000,4,3.0
299,2019-07-14 11:42:04.116000,2,3.0
300,2019-07-14 11:42:10.745000,3,3.0
