,,,,,Class 1, Class 2,Class 3,Class 4,Class 5,
,265,265,,,265,154,224,783,570,1996
,FEEDBACK_VALUE,YOUTUBE_AUTO_MOS,,,,,,,,
29,3,3,,,,,,,,
30,1,5,,,,,,,,
31,3,5,,,,,,,,
32,2,5,,,,,,,,
33,3,5,,,,,,,,
34,3,5,,,,,,,,
35,3,5,,,,,,,,
36,3,5,,,,,,,,
37,2,5,,,,,,,,
38,3,5,,,,,,,,
39,2,5,,,,,,,,
40,3,5,,,,,,,,
41,4,5,,,,,,,,
42,2,3,,,,,,,,
43,4,3,,,,,,,,
44,3,3,,,,,,,,
45,3,3,,,,,,,,
46,5,3,,,,,,,,
47,4,3,,,,,,,,
48,5,3,,,,,,,,
49,5,3,,,,,,,,
50,4,3,,,,,,,,
51,3,3,,,,,,,,
52,4,3,,,,,,,,
53,5,5,,,,,,,,
54,5,5,,,,,,,,
55,2,1,,,,,,,,
56,2,1,,,,,,,,
57,2,1,,,,,,,,
58,2,1,,,,,,,,
59,1,1,,,,,,,,
60,1,1,,,265,154,224,783,570,
61,2,1,,,,,,,,
62,3,3,,,,,,,,
63,4,3,,,,,,,,
64,4,3,,,,,,,,
65,4,3,,,,,,,,
66,4,3,,,,,,,,
67,4,3,,,,,,,,
68,4,3,,,,,,,,
69,4,3,,,,,,,,
70,4,3,,,,,,,,
71,4,3,,,,,,,,
72,3,3,,,,,,,,
73,4,3,,,,,,,,
74,5,3,,,,,,,,
75,5,3,,,,,,,,
76,5,3,,,,,,,,
77,5,3,,,,,,,,
78,5,3,,,,,,,,
79,5,3,,,,,,,,
80,4,3,,,,,,,,
81,4,3,,,,,,,,
82,4,3,,,,,,,,
83,4,3,,,,,,,,
84,4,3,,,,,,,,
85,4,3,,,,,,,,
86,4,3,,,,,,,,
87,3,3,,,,,,,,
88,3,3,,,,,,,,
89,5,3,,,,,,,,
90,5,3,,,,,,,,
91,4,3,,,,,,,,
92,5,3,,,,,,,,
93,4,3,,,,,,,,
94,4,3,,,,,,,,
95,4,3,,,,,,,,
96,4,3,,,,,,,,
97,4,3,,,,,,,,
98,4,3,,,,,,,,
99,3,3,,,,,,,,
100,4,3,,,,,,,,
102,1,3,,,,,,,,
103,1,3,,Class1,265,,,,,
104,2,3,,,154,,,,,
105,1,3,,Class1,154,,,,,
106,2,1,,,783,,,,,
107,3,1,,,570,,,,,
108,1,1,,Class3,224,,,,,
109,2,1,,,,,,,,
110,4,1,,,,,,,,
111,4,1,,,,,,,,
112,3,1,,,,,,,,
113,1,1,,Class4,783,,,,,
114,3,1,,,,,,,,
115,4,3,,,,,,,,
116,4,3,,,,,,,,
117,4,3,,,,,,,,
118,3,3,,,,,,,,
119,4,3,,,,,,,,
120,4,3,,,,,,,,
121,4,3,,,,,,,,
