,USER_ID,FEEDBACK_APP,FEEDBACK_VALUE,FEEDBACK_DATE,DATE,RTT,DOWNLOAD_LOSS_RATE,UPLOAD_LOSS_RATE,DOWNLOAD_JITTER,UPLOAD_JITTER,UDP_DOWNLOAD_THROUGHPUT,UDP_UPLOAD_THROUGHPUT,SKYPE___VOICE_CALL___MOS,YOUTUBE___VIDEO_PLAYBACK___P_720___MOS,NETWORK_CLASS,NETWORK_TYPE,MOBILE_GSM_CID,MOBILE_GSM_LAC,MOBILE_UMTS_PSC,MOBILE_OPERATOR,MOBILE_OPERATOR_COUNTRY_CODE,SIGNAL_STRENGTH_RSSI__dBm(0),SIGNAL_STRENGTH_LEVEL(0),IS_IN_AIRPLANE_MODE,IS_MOBILE_DATA_ENABLED,IS_ROAMING_DATA_ENABLED,IS_IN_NATIONAL_ROAMING,IS_IN_ROAMING,IS_WIFI_CONNECTED,SIGNAL_STRENGTH_RSSI__dBm(1),SIGNAL_STRENGTH_LEVEL(1),WIFI_SSID
0,025e04b0-196a-4dd0-9a9a-33b6fb8f19fd,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,07d91f23-46c8-4e43-9faf-0c9706c1644e,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,12048bbc-56ba-4070-9e40-abf32e1023c6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,12116e97-7d56-4d5c-bbfa-b14379ebceb0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,385,385,385,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326
5,1ebec2b6-b0c1-443a-a6e2-04ec79497784,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,1faa8e22-706c-409a-a13e-866b1c565105,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7,25be5348-d4b9-40e0-8271-bdd88dc6bde1,260,260,260,256,256,256,256,256,256,256,251,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
8,26085c71-3a85-4ac0-8999-411dd70d478b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
9,27a4efeb-a356-405d-8b88-b2e91db49393,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,29e9f01b-1a8f-45d5-b16e-5725421c70ff,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16
11,2c34ce6d-da91-4232-ac9c-5d9e6509fcad,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,2d8046c6-adc9-4fe1-ab95-8ed857d6de23,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
13,2e604f35-a694-4898-b0e9-5cfbcd785fd4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,446db1c8-cef6-406f-986e-f297fb73547c,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4af0af67-83de-4746-9925-c488fa0ba763,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,4be89ad5-1c0f-4f62-a838-614bcf2e9504,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
17,4c16840b-c218-455a-8e5c-fbe800c40929,56,56,56,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,43
18,4d8f5198-c6e6-49b4-ac57-02c5a949638e,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,4d9c211c-4fc8-48c5-993a-9845c6576a7e,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
20,4fc50d8d-d73a-4fbe-90c2-121b20cc8902,390,390,390,324,319,324,324,319,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324
21,5308483a-806b-4800-b734-4ae0d69515d9,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
22,53e663c1-a56c-4ed2-8b22-e27483238935,38,38,38,27,27,27,27,27,27,27,27,27,27,27,27,0,0,0,0,0,27,27,27,27,27,27,27,27,27,27,27
23,53fca48b-30c1-453e-b1ff-f543d6c6fde3,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
24,547119ec-f0f8-4246-b8b6-db8a7c881e5c,132,132,132,84,84,84,84,84,84,84,84,84,84,84,84,83,83,83,82,82,84,84,84,84,84,84,84,84,84,84,84
25,55ab9f6b-cbe2-4100-bfe3-0f5840cd4e9e,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
26,565e3aef-0f46-4354-b31e-9d5f7b0be3e4,9,9,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
27,5c42bcca-ced2-43f8-96eb-2de0eaa8af69,302,302,302,301,301,301,301,301,301,301,301,301,301,301,301,0,0,0,301,301,301,301,301,301,301,301,301,301,301,301,301
28,60902e68-2e7f-421b-b16f-7f11b9069e48,726,726,726,556,556,556,556,556,556,549,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556
29,611d1316-f9d8-4bfb-be28-8db9f5f54a4f,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,620624f1-35df-4afd-b833-187ed7cba840,32,32,32,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
31,648a8aa5-dc0f-4fe4-9cbc-f9f76b9fe27f,31,31,31,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
32,6953c3b1-0a0c-4388-8514-6c7f6157150d,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5
33,6cfafa61-7de1-4302-bf2d-f11611d8c99f,19,19,19,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
34,6f9570a1-edeb-45f4-b84d-94b5853ad7b2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,6fbeb54d-bf6c-46a2-94d1-c68d29b8f1c4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
36,7000ae39-a8e1-40e5-9db8-57bf2706ed27,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,7213f535-20f5-4b5d-89ad-797706313265,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
38,7442745f-653d-4e43-a326-e054beafebe2,16,16,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
39,754daaaf-101c-4f4e-abdc-b1e46ec88c97,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
40,77a801f9-152d-4aeb-aa04-cc3c67b974e6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1
41,7b168c39-81aa-4c37-9ce0-c2eda18a424b,147,147,147,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132
42,7b73cf6f-ad81-434f-9631-00b6328c269d,325,325,325,196,196,196,196,175,196,196,196,196,196,196,196,0,0,0,196,196,196,196,196,196,196,196,196,196,196,196,196
43,84a0d1eb-3ae9-4427-a391-655d2e292d77,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
44,858f49c4-2d4b-43e3-85fb-e1a54de4ad18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
45,86778d4a-c2f6-4d95-8ed8-de5bb5f8eb4d,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,3,3,3
46,86ac0398-dca7-404a-bf79-4d23da9ec447,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,88f5261d-a17c-4710-bc1c-0b9742d8a8b4,20,20,20,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0
48,8c587156-d604-48dd-b52a-ed79ccd17c85,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,912525d0-1113-4b1e-9a7b-dc022ef005ba,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
50,92fe326d-3e34-4fb0-87cb-c357ed318ae9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,933c25ce-e1f1-418f-b3c2-27d1fb3cfd97,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
52,967806a3-f2c5-4161-a6a5-f6dd8f1403ca,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,4,1,1,1,1,5,5,5,5,5
53,9860c008-6ff1-4f10-938b-35500b5585f7,252,252,252,246,246,246,246,246,246,246,246,246,246,246,246,0,0,0,246,246,246,246,246,246,246,246,246,246,246,246,246
54,9a1161bd-9140-4c42-af7b-25f7423c73f1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,a1314b6f-eb35-4fb9-9ebc-6ece64ab23b0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5
