,index,FEEDBACK_APP,FEEDBACK_VALUE,FEEDBACK_DATE,USER_ID,DATE,RTT,DL,UL,DJ,UJ,DTH,UTH,SKYPE___VOICE_CALL___MOS,YOUTUBE___VIDEO_PLAYBACK___P_720___MOS,NETWORK_CLASS,NETWORK_TYPE,MOBILE_GSM_CID,MOBILE_GSM_LAC,MOBILE_UMTS_PSC,MOBILE_OPERATOR,MOBILE_OPERATOR_COUNTRY_CODE,SIGNAL_STRENGTH_RSSI__dBm(0),SIGNAL_STRENGTH_LEVEL(0),IS_IN_AIRPLANE_MODE,IS_MOBILE_DATA_ENABLED,IS_ROAMING_DATA_ENABLED,IS_IN_NATIONAL_ROAMING,IS_IN_ROAMING,IS_WIFI_CONNECTED,SIGNAL_STRENGTH_RSSI__dBm(1),SIGNAL_STRENGTH_LEVEL(1),WIFI_SSID
0,8,WEB___GENERAL___MOS,1,2018-03-25 21:10:37.285000,967806a3-f2c5-4161-a6a5-f6dd8f1403ca,2018-03-25 21:10:13.579000,283621531.3,0.0,0.0,1764648.08,3778392.36,3240557.8460000004,295336.0927,5.0,5.0,3G,HSPAP,20933543.0,10701.0,421.0,20810.0,fr,-113.0,1.0,False,True,True,False,False,False,inf,2147483647.0,0x
1,15,INSTAGRAM___GENERAL___MOS,3,2019-04-18 18:55:07.740000,84a0d1eb-3ae9-4427-a391-655d2e292d77,2019-04-18 18:54:59.925000,12767780.0,0.0,0.0,941168.87,205313.37,7179501.707,6079195.992000001,5.0,5.0,4G,LTE,91.0,3.0,2147483647.0,310260.0,us,-100.0,3.0,False,True,True,False,False,False,-inf,-2147483648.0,<unknown ssid>
2,16,FACEBOOK___GENERAL___MOS,2,2019-04-18 18:56:35.792000,84a0d1eb-3ae9-4427-a391-655d2e292d77,2019-04-18 18:56:58.624000,20419040.0,0.0,0.0,2529481.18,1720606.65,6206060.606000001,4709789.906,5.0,5.0,4G,LTE,91.0,3.0,2147483647.0,310260.0,us,-100.0,3.0,False,True,True,False,False,False,-inf,-2147483648.0,<unknown ssid>
3,17,INSTAGRAM___GENERAL___MOS,3,2019-04-18 18:57:46.367000,84a0d1eb-3ae9-4427-a391-655d2e292d77,2019-04-18 18:57:57.882000,4210950.0,0.0,0.0,1076875.16,763994.16,4654930.16,5150050.964,5.0,5.0,4G,LTE,91.0,3.0,2147483647.0,310260.0,us,-100.0,3.0,False,True,True,False,False,False,-inf,-2147483648.0,<unknown ssid>
4,18,FACEBOOK___GENERAL___MOS,2,2019-04-18 19:00:36.788000,84a0d1eb-3ae9-4427-a391-655d2e292d77,2019-04-18 19:00:57.256000,2102830.0,0.0,0.0,370968.15,142236.89,10368824.79,5089374.56,5.0,5.0,4G,LTE,91.0,3.0,2147483647.0,310260.0,us,-100.0,3.0,False,True,True,False,False,False,-inf,-2147483648.0,<unknown ssid>
5,19,FACEBOOK___GENERAL___MOS,5,2019-04-18 19:02:47.048000,84a0d1eb-3ae9-4427-a391-655d2e292d77,2019-04-18 19:02:57.318000,4945840.0,0.0,0.0,1050905.33,446649.53,10811594.82,4438059.2469999995,5.0,5.0,4G,LTE,91.0,3.0,2147483647.0,310260.0,us,-100.0,3.0,False,True,True,False,False,False,-inf,-2147483648.0,<unknown ssid>
6,20,INSTAGRAM___GENERAL___MOS,5,2019-04-18 19:03:26.522000,84a0d1eb-3ae9-4427-a391-655d2e292d77,2019-04-18 19:02:57.318000,4945840.0,0.0,0.0,1050905.33,446649.53,10811594.82,4438059.2469999995,5.0,5.0,4G,LTE,91.0,3.0,2147483647.0,310260.0,us,-100.0,3.0,False,True,True,False,False,False,-inf,-2147483648.0,<unknown ssid>
7,21,EMAIL___GENERAL___MOS,4,2019-04-18 19:04:12.602000,84a0d1eb-3ae9-4427-a391-655d2e292d77,2019-04-18 19:03:57.421000,2104180.0,0.0,0.0,375038.9,113679.02,10059338.35,5702396.336,5.0,5.0,4G,LTE,91.0,3.0,2147483647.0,310260.0,us,-100.0,3.0,False,True,True,False,False,False,-inf,-2147483648.0,<unknown ssid>
8,22,NETFLIX___GENERAL___MOS,4,2019-04-18 19:05:45.347000,84a0d1eb-3ae9-4427-a391-655d2e292d77,2019-04-18 19:05:57.921000,6081600.0,0.0,0.0,1206762.05,998650.75,7764705.882,4971255.857,5.0,5.0,4G,LTE,91.0,3.0,2147483647.0,310260.0,us,-100.0,3.0,False,True,True,False,False,False,-inf,-2147483648.0,<unknown ssid>
9,23,SNAPCHAT___GENERAL___MOS,1,2019-04-18 19:06:17.925000,84a0d1eb-3ae9-4427-a391-655d2e292d77,2019-04-18 19:05:57.921000,6081600.0,0.0,0.0,1206762.05,998650.75,7764705.882,4971255.857,5.0,5.0,4G,LTE,91.0,3.0,2147483647.0,310260.0,us,-100.0,3.0,False,True,True,False,False,False,-inf,-2147483648.0,<unknown ssid>
10,24,INSTAGRAM___GENERAL___MOS,1,2019-04-18 19:15:55.334000,84a0d1eb-3ae9-4427-a391-655d2e292d77,2019-04-18 19:15:57.232000,3530840.0,0.0,0.0,527979.49,266957.34,10238448.72,4716951.853999999,5.0,5.0,4G,LTE,91.0,3.0,2147483647.0,310260.0,us,-100.0,3.0,False,True,True,False,False,False,-inf,-2147483648.0,<unknown ssid>
11,25,INSTAGRAM___GENERAL___MOS,5,2019-04-18 19:39:30.387000,84a0d1eb-3ae9-4427-a391-655d2e292d77,2019-04-18 19:39:57.880000,7218490.0,0.0,0.0,2067237.85,2421179.95,10825911.45,4699155.631,5.0,5.0,4G,LTE,91.0,3.0,2147483647.0,310260.0,us,-100.0,3.0,False,True,True,False,False,False,-inf,-2147483648.0,<unknown ssid>
12,26,SPOTIFY___GENERAL___MOS,5,2019-04-19 10:55:49.428000,86ac0398-dca7-404a-bf79-4d23da9ec447,2019-04-19 10:56:12.129000,3835246.28,0.0,0.0,623187.18,495877.1,11543009.68,18944732.64,5.0,5.0,UNKNOWN,UNKNOWN,86052336.0,3062.0,-1.0,20815.0,fr,-63.0,5.0,False,True,False,False,False,True,-65.0,4.0,INRIA-interne
13,27,HANGOUTS___GENERAL___MOS,4,2019-04-23 10:39:59.229000,84a0d1eb-3ae9-4427-a391-655d2e292d77,2019-04-23 10:39:33.473000,13386816.86,0.0,0.0,849974.86,363695.0,10238686.76,6843163.345,5.0,5.0,4G,LTE,91.0,3.0,2147483647.0,310260.0,us,-100.0,3.0,False,True,True,False,False,False,-inf,-2147483648.0,<unknown ssid>
14,28,EMAIL___GENERAL___MOS,5,2019-05-07 13:08:14.111000,9a1161bd-9140-4c42-af7b-25f7423c73f1,2019-05-07 13:08:34.102000,51196364.58,0.0,0.0,791526.44,1510031.65,7699784.129,1837263.5680000002,5.0,5.0,4G,LTE,1377299.0,49803.0,11.0,20810.0,fr,-111.0,3.0,False,True,True,False,False,False,inf,2147483647.0,<unknown ssid>
15,29,YOUTUBE___VIDEO_PLAYBACK___S_144___MOS,5,2019-05-14 16:42:02.574000,aebcc31b-34b5-4fef-bd52-d8fab9cfb9ed,2019-05-14 16:41:53.845000,20748800.0,0.0,0.0,1717010.99,1172015.81,9591643.644,2002063.324,5.0,5.0,4G,LTE,91.0,3.0,2147483647.0,310260.0,us,-100.0,3.0,False,True,True,False,False,False,-inf,-2147483648.0,<unknown ssid>
16,30,INSTAGRAM___GENERAL___MOS,5,2019-05-15 11:42:06.351000,d2b26cdd-5361-4d1b-bfe2-a26a6cd58b82,2019-05-15 11:41:54.839000,55369281.68,0.0,0.0,1886329.74,1787385.84,9838270.616,14514902.36,5.0,5.0,UNKNOWN,UNKNOWN,86052336.0,3062.0,-1.0,20815.0,fr,-85.0,5.0,False,True,False,False,False,True,-70.0,4.0,INRIA-interne
