,YOUTUBE___VIDEO_PLAYBACK___P_720___MOS,FEEDBACK_APP,FEEDBACK_VALUE,FEEDBACK_DATE,USER_ID,DATE,RTT,DOWNLOAD_LOSS_RATE,UPLOAD_LOSS_RATE,DOWNLOAD_JITTER,UPLOAD_JITTER,UDP_DOWNLOAD_THROUGHPUT,UDP_UPLOAD_THROUGHPUT,SKYPE___VOICE_CALL___MOS,NETWORK_CLASS,NETWORK_TYPE,MOBILE_GSM_CID,MOBILE_GSM_LAC,MOBILE_UMTS_PSC,MOBILE_OPERATOR,MOBILE_OPERATOR_COUNTRY_CODE,SIGNAL_STRENGTH_RSSI__dBm(0),SIGNAL_STRENGTH_LEVEL(0),IS_IN_AIRPLANE_MODE,IS_MOBILE_DATA_ENABLED,IS_ROAMING_DATA_ENABLED,IS_IN_NATIONAL_ROAMING,IS_IN_ROAMING,IS_WIFI_CONNECTED,SIGNAL_STRENGTH_RSSI__dBm(1),SIGNAL_STRENGTH_LEVEL(1),WIFI_SSID,Val %,Feedback_MoS
0,1.0,392,392,392,392,392,392,392,392,384,392,391,392,392,392,392,351,351,351,381,381,392,392,392,392,392,392,392,392,392,392,388,0.71,m_1
1,2.0,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,0.07,m_1
2,3.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,0.04,m_1
3,4.0,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,45,45,45,55,55,57,57,57,57,57,57,57,57,57,57,56,0.1,m_1
4,5.0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,31,31,31,34,34,35,35,35,35,35,35,35,35,35,35,35,0.06,m_1
0,1.0,31,31,31,31,31,31,31,31,29,31,31,31,31,31,31,25,25,25,29,29,31,31,31,31,31,31,31,31,31,31,31,0.16,m_2
1,2.0,63,63,63,63,63,63,63,63,63,63,63,54,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,0.32,m_2
2,3.0,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,43,43,43,45,45,45,45,45,45,45,45,45,45,45,45,45,0.23,m_2
3,4.0,35,35,35,35,35,35,35,35,35,35,34,35,35,35,35,31,31,31,35,35,35,35,35,35,35,35,35,35,35,35,35,0.18,m_2
4,5.0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,19,19,19,21,21,21,21,21,21,21,21,21,21,21,21,21,0.11,m_2
0,1.0,15,15,15,15,15,13,15,15,13,15,15,15,15,15,15,12,12,12,14,14,15,15,15,15,15,15,15,15,15,15,13,0.05,m_3
1,2.0,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.02,m_3
2,3.0,126,126,126,126,126,126,126,126,126,126,125,126,126,126,126,122,122,122,126,126,126,126,126,126,126,126,126,126,126,126,124,0.43,m_3
3,4.0,94,94,94,94,94,94,94,94,94,94,89,94,94,94,94,82,82,82,94,94,94,94,94,94,94,94,94,94,94,94,93,0.32,m_3
4,5.0,54,54,54,54,54,54,54,54,54,54,52,54,54,54,54,52,52,52,54,54,54,54,54,54,54,54,54,54,54,54,54,0.18,m_3
0,1.0,73,73,73,73,73,73,73,73,63,73,73,73,73,73,73,61,61,61,70,70,73,73,73,73,73,73,73,73,73,73,73,0.07,m_4
1,2.0,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.01,m_4
2,3.0,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,0.03,m_4
3,4.0,717,717,717,717,717,717,717,717,717,717,717,712,717,717,717,594,594,594,717,717,717,717,717,717,717,717,717,717,717,717,716,0.72,m_4
4,5.0,168,168,168,168,168,168,168,168,168,168,167,168,168,168,168,142,142,142,168,168,168,168,168,168,168,168,168,168,168,168,168,0.17,m_4
0,1.0,26,26,26,26,26,23,26,26,22,26,26,26,26,26,26,21,21,21,24,24,26,26,26,26,26,26,26,26,26,26,26,0.02,m_5
1,2.0,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.01,m_5
2,3.0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,0.01,m_5
3,4.0,180,180,180,180,180,180,180,180,180,180,180,177,180,180,180,173,173,173,180,180,180,180,180,180,180,180,180,180,180,180,180,0.15,m_5
4,5.0,948,948,948,948,948,948,948,948,948,948,943,948,948,948,948,398,398,398,940,940,948,948,948,948,948,948,948,948,948,948,944,0.81,m_5
